Rec No	Cod Imput	Tipo Movim	Fecha Comprob	Periodo Contable	Num Comprob	Descripcion	Importe	Actividad	Tipo Proveedor	Cod Provincia	Nro Ordenpago	Memo
8	10,041	Ventas Cuenta Corriente	78,561	78,561	25,447	VERONICA S.A.C.I.A.f.e l.	388,334.99	0	3	126	0	
9	100,072	Nota de Débito Emitida	78,561	78,561	2,659	VERONICA S.A.C.I.A.f.e l.	15,533.40	0	3	126	0	
10	100,050	Ventas Cuenta Corriente	78,542	78,561	8,430	COOP AGR.GANAD.BDO.DE YRIGOYEN	210,759.49	0	4	200	0	
11	100,073	Facturas Cuenta Corriente	78,542	78,561	2	COOP AGR.GANAD.BDO.DE YRIGOYEN	548.83	0	4	200	0	
13	80,304	Facturas Cuenta Corriente	78,541	78,561	50,811	OPER.DE ESTAC.DE SERV. SA	382.34	0	5	252	0	
14	80,304	Facturas Cuenta Corriente	78,558	78,561	57,606	LOS FERTO SRL	585.81	0	5	252	0	
15	100,048	Facturas Cuenta Corriente	78,558	78,561	57,606	LOS FERTO SRL	585.81	0	5	252	0	
16	80,304	Facturas Cuenta Corriente	78,549	78,561	50,896	OPER.DE ESTAC.DE SERV. SA	586.65	0	5	252	0	
17	80,304	Facturas Cuenta Corriente	78,557	78,561	51,713	OPER.DE ESTAC.DE SERV. SA	369.3	0	5	252	0	
18	80,304	Facturas Cuenta Corriente	78,549	78,561	51,240	OPER.DE ESTAC.DE SERV. SA	522.22	0	5	252	0	
19	80,304	Facturas Cuenta Corriente	78,538	78,561	50,726	OPER.DE ESTAC.DE SERV. SA	619.55	0	5	252	0	
20	80,304	Facturas Cuenta Corriente	78,560	78,561	94,689	OPER.DE ESTAC.DE SERV. SA	312.9	0	5	252	0	
21	100,074	Facturas Cuenta Corriente	78,561	78,561	180	CASTELLARI Fer. Y PONS EDITA	109,138.54	0	6	13	0	
22	10,008	Facturas Cuenta Corriente	78,561	78,561	125	SANTA CRUZ DANIEL DOMINGO	32,309.47	0	7	13	0	
23	100,075	Facturas Cuenta Corriente	78,534	78,561	688	ANDRETICH HUGO A	800	0	8	252	0	
24	100,086	Documento de Contado	79,292	79,292	4	COMISION OPERAC.CAJA	198.25	0	9	252	0	
25	100,076	Facturas Cuenta Corriente	78,555	78,561	17,801	FERRETERIA LA TUERCA FLOJA	443.97	0	10	13	0	
26	100,076	Facturas Cuenta Corriente	78,559	78,561	250,999	GOMERIA SANTA EUSEBIA	1,366.08	0	11	13	0	
27	100,076	Facturas Cuenta Corriente	78,559	78,561	21,000	GOMERIA SANTA EUSEBIA	2,672.69	0	11	13	0	
28	60,501	Facturas Cuenta Corriente	78,551	78,561	80,868	OCA	99.17	0	12	252	0	
29	31,101	Facturas Cuenta Corriente	78,536	78,561	7,923	EMBRAGUES SAN CAYETANO	4,505.78	0	13	96	0	
30	100,077	Facturas Cuenta Corriente	78,545	78,561	4,304,376	SANCOR SEGUROS	127	0	14	18	0	
31	100,077	Facturas Cuenta Corriente	78,545	78,561	4,502,292	SANCOR SEGUROS	117.05	0	14	18	0	
32	100,077	Facturas Cuenta Corriente	78,502	78,531	31,215	SANCOR SEGUROS	117.05	0	14	18	0	
33	90,456	Facturas Cuenta Corriente	78,533	78,561	3,012,016	SANCOR SEGUROS	305.69	0	14	18	0	
34	100,078	Facturas Cuenta Corriente	78,561	78,561	10,130	YPF HUGO MANCINI	9,718.26	0	5	13	0	
35	100,078	Facturas Cuenta Corriente	78,561	78,561	10,130	YPF HUGO MANCINI	9,718.26	0	5	13	0	
36	10,010	Facturas Cuenta Corriente	78,533	78,561	38,327	TORRAZA LUIS ORDEÑADORAS	3,551.35	0	15	115	0	
37	204	Facturas Cuenta Corriente	78,533	78,561	38,327	TORRAZA LUIS ORDEÑADORAS	3,551.35	0	15	115	0	
38	70,506	Facturas Cuenta Corriente	78,538	78,561	1,703	COMERCIAL EUSEBIA S.A.	17,876.00	0	2	13	0	
39	70,506	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	67,301.31	0	2	13	0	
40	10,501	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	4,819.81	0	2	13	0	
41	10,173	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	687.5	0	2	13	0	
42	10,018	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	10,722.60	0	2	13	0	
43	155	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	13,436.01	0	2	13	0	
44	90,103	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	11,795.28	0	2	13	0	
45	53	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
46	58	Facturas Cuenta Corriente	78,541	78,561	1,705	COMERCIAL EUSEBIA S.A.	495.5	0	2	13	0	
47	10,018	Facturas Cuenta Corriente	78,560	78,561	1,809	COMERCIAL EUSEBIA S.A.	38,223.90	0	2	13	0	
48	155	Facturas Cuenta Corriente	78,560	78,561	1,809	COMERCIAL EUSEBIA S.A.	44,510.73	0	2	13	0	
49	90,103	Facturas Cuenta Corriente	78,560	78,561	1,809	COMERCIAL EUSEBIA S.A.	14,561.86	0	2	13	0	
50	53	Facturas Cuenta Corriente	78,560	78,561	1,809	COMERCIAL EUSEBIA S.A.	1,982.00	0	2	13	0	
51	10,304	Facturas Cuenta Corriente	78,560	78,561	1,809	COMERCIAL EUSEBIA S.A.	22,988.45	0	2	13	0	
52	10,173	Facturas Cuenta Corriente	78,560	78,561	1,809	COMERCIAL EUSEBIA S.A.	5,555.00	0	2	13	0	
53	10,216	Facturas Cuenta Corriente	78,535	78,561	1,677	COMERCIAL EUSEBIA S.A.	22,464.40	0	2	13	0	
54	10,304	Facturas Cuenta Corriente	78,535	78,561	1,677	COMERCIAL EUSEBIA S.A.	5,038.95	0	2	13	0	
